Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LandingLearningBrain,0.640,4110.188,27.358,10285,524.985
LandingLearningBrain,0.582,4149.741,27.448,10257,523.114
LandingLearningBrain,0.560,4189.204,28.020,10265,521.827
LandingLearningBrain,0.582,4228.714,27.471,10252,521.094
LandingLearningBrain,0.576,4267.449,28.095,10269,519.357
LandingLearningBrain,0.732,4307.563,27.688,10269,518.863
LandingLearningBrain,0.557,4347.201,27.709,10294,518.966
LandingLearningBrain,0.561,4386.546,27.512,10268,519.673
LandingLearningBrain,0.576,4426.656,27.975,10289,519.793
LandingLearningBrain,0.702,4465.922,27.714,10303,522.040
LandingLearningBrain,0.555,4505.330,27.705,10248,524.155
LandingLearningBrain,0.586,4544.155,27.589,10285,524.914
LandingLearningBrain,0.574,4583.418,27.483,10272,525.945
LandingLearningBrain,0.597,4623.219,28.040,10297,527.891
LandingLearningBrain,0.692,4662.722,27.438,10256,529.032
LandingLearningBrain,0.738,4701.941,28.019,10265,531.196
LandingLearningBrain,0.555,4740.889,27.603,10264,533.242
LandingLearningBrain,0.643,4780.573,27.626,10302,532.608
LandingLearningBrain,0.593,4818.987,29.035,10279,533.103
LandingLearningBrain,0.633,4857.219,28.249,10296,534.631
LandingLearningBrain,0.556,4896.853,27.885,10272,536.317
LandingLearningBrain,0.569,4936.342,28.003,10269,534.068
LandingLearningBrain,0.555,4975.532,27.525,10268,534.065
LandingLearningBrain,0.585,5013.497,27.958,10258,535.978
LandingLearningBrain,0.596,5053.339,28.074,10303,535.595
LandingLearningBrain,0.703,5092.102,28.079,10251,534.661
LandingLearningBrain,0.738,5131.614,27.692,10293,535.592
LandingLearningBrain,0.628,5170.558,28.018,10260,536.424
LandingLearningBrain,0.569,5207.760,28.082,10249,538.360
LandingLearningBrain,0.722,5247.698,28.407,10267,538.311
LandingLearningBrain,0.560,5286.565,27.413,10298,540.144
LandingLearningBrain,0.561,5325.665,28.076,10266,540.826
LandingLearningBrain,0.596,5364.695,28.075,10247,540.432
LandingLearningBrain,0.723,5404.424,27.785,10256,541.526
LandingLearningBrain,0.572,5443.045,28.117,10303,543.704
LandingLearningBrain,0.573,5482.494,27.535,10302,543.996
LandingLearningBrain,0.560,5521.024,29.118,10274,545.380
LandingLearningBrain,0.571,5559.775,27.539,10285,547.424
LandingLearningBrain,0.588,5599.280,27.467,10279,548.321
LandingLearningBrain,0.568,5639.167,27.917,10266,549.919
LandingLearningBrain,0.586,5677.705,28.060,10259,551.693
LandingLearningBrain,0.662,5717.311,27.886,10273,553.398
LandingLearningBrain,0.738,5755.279,28.141,10274,555.436
LandingLearningBrain,0.577,5794.361,27.842,10304,557.489
LandingLearningBrain,0.564,5833.549,28.327,10247,559.218
LandingLearningBrain,0.571,5871.626,28.626,10273,560.855
LandingLearningBrain,0.693,5911.275,27.512,10250,562.092
LandingLearningBrain,0.710,5950.739,27.436,10286,563.855
LandingLearningBrain,0.659,5988.716,28.150,10251,565.638
LandingLearningBrain,0.611,6028.727,27.834,10295,567.124
LandingLearningBrain,0.676,6067.393,28.632,10295,568.176
LandingLearningBrain,0.549,6106.857,27.443,10261,568.262
LandingLearningBrain,0.548,6146.816,27.998,10293,568.899
LandingLearningBrain,0.600,6185.921,27.902,10264,569.502
LandingLearningBrain,0.630,6225.294,27.881,10279,571.019
LandingLearningBrain,0.549,6264.062,28.386,10291,572.679
LandingLearningBrain,0.560,6302.892,27.278,10251,574.337
LandingLearningBrain,0.626,6342.082,27.532,10279,575.920
LandingLearningBrain,0.718,6380.735,28.103,10274,577.665
LandingLearningBrain,0.714,6420.483,27.701,10291,579.788
LandingLearningBrain,0.621,6458.524,28.003,10249,581.754
LandingLearningBrain,0.720,6498.557,27.810,10269,582.760
LandingLearningBrain,0.603,6537.575,28.126,10297,584.056
LandingLearningBrain,0.580,6577.233,27.895,10293,584.167
LandingLearningBrain,0.737,6616.584,27.633,10294,585.863
LandingLearningBrain,0.736,6654.912,27.889,10255,587.586
LandingLearningBrain,0.617,6692.632,28.775,10258,589.494
LandingLearningBrain,0.690,6731.081,27.574,10303,591.467
LandingLearningBrain,0.646,6770.912,27.790,10258,593.439
LandingLearningBrain,0.694,6810.228,27.265,10247,595.065
LandingLearningBrain,0.564,6849.277,27.449,10302,597.019
LandingLearningBrain,0.659,6888.882,27.907,10270,598.972
LandingLearningBrain,0.565,6927.414,27.936,10282,600.944
LandingLearningBrain,0.708,6966.908,27.504,10251,602.909
LandingLearningBrain,0.560,7006.242,27.560,10241,604.699
LandingLearningBrain,0.572,7043.954,28.475,10252,605.835
LandingLearningBrain,0.750,7083.124,27.569,10282,606.692
LandingLearningBrain,0.560,7121.865,27.849,10246,608.173
LandingLearningBrain,0.573,7160.559,29.115,10257,607.865
LandingLearningBrain,0.734,7199.231,27.915,10260,608.653
LandingLearningBrain,0.563,7238.210,27.931,10263,608.529
LandingLearningBrain,0.706,7278.138,27.762,10274,608.816
LandingLearningBrain,0.609,7317.792,27.595,10301,609.313
LandingLearningBrain,0.665,7356.997,28.201,10247,609.647
LandingLearningBrain,0.708,7396.372,28.287,10299,608.601
LandingLearningBrain,0.563,7434.868,28.952,10252,607.363
LandingLearningBrain,0.561,7473.632,28.563,10264,606.295
LandingLearningBrain,0.737,7513.357,27.628,10259,605.615
LandingLearningBrain,0.702,7553.168,27.800,10261,605.033
LandingLearningBrain,0.561,7591.379,28.061,10257,605.198
LandingLearningBrain,0.650,7631.392,27.908,10303,606.414
LandingLearningBrain,0.545,7670.952,27.885,10255,607.910
LandingLearningBrain,0.629,7709.137,28.526,10242,609.281
LandingLearningBrain,0.586,7748.757,28.032,10302,610.808
LandingLearningBrain,0.575,7787.755,27.489,10261,612.467
LandingLearningBrain,0.582,7826.427,28.022,10267,613.616
LandingLearningBrain,0.707,7865.157,28.135,10283,614.974
LandingLearningBrain,0.592,7904.815,27.896,10281,616.175
LandingLearningBrain,0.713,7944.579,27.663,10242,617.315
LandingLearningBrain,0.715,7983.915,27.755,10301,618.188
LandingLearningBrain,0.570,8022.104,28.322,10250,619.636
LandingLearningBrain,0.567,8060.735,28.618,10276,621.078
LandingLearningBrain,0.560,8100.684,27.957,10285,622.197
LandingLearningBrain,0.683,8139.474,27.588,10301,623.424
LandingLearningBrain,0.601,8179.287,28.101,10302,624.548
LandingLearningBrain,0.552,8219.182,28.019,10300,625.462
LandingLearningBrain,0.617,8258.324,27.630,10296,626.192
LandingLearningBrain,0.572,8298.255,28.246,10255,626.723
LandingLearningBrain,0.546,8337.555,27.460,10242,627.258
LandingLearningBrain,0.733,8375.820,28.989,10259,628.132
LandingLearningBrain,0.569,8414.273,28.166,10249,629.088
LandingLearningBrain,0.578,8453.511,27.500,10252,629.489
LandingLearningBrain,0.728,8493.067,28.280,10303,630.107
LandingLearningBrain,0.562,8531.381,28.381,10287,630.917
LandingLearningBrain,0.703,8570.978,27.799,10287,631.526
LandingLearningBrain,0.562,8609.887,28.403,10290,632.118
LandingLearningBrain,0.586,8649.833,28.062,10257,631.971
LandingLearningBrain,0.629,8689.512,28.058,10276,632.067
LandingLearningBrain,0.545,8729.134,27.911,10248,631.728
LandingLearningBrain,0.561,8769.332,27.954,10257,631.403
LandingLearningBrain,0.580,8808.931,27.730,10294,631.171
LandingLearningBrain,0.550,8849.242,28.120,10298,630.859
LandingLearningBrain,0.559,8889.042,28.184,10278,630.659
LandingLearningBrain,0.548,8928.656,28.078,10258,630.516
LandingLearningBrain,0.557,8968.126,28.097,10255,629.915
LandingLearningBrain,0.593,9008.293,28.175,10299,629.018
LandingLearningBrain,0.674,9047.814,28.100,10275,628.309
LandingLearningBrain,0.561,9087.247,27.992,10251,628.093
LandingLearningBrain,0.581,9127.114,28.140,10282,627.423
LandingLearningBrain,0.588,9167.357,27.925,10264,626.846
LandingLearningBrain,0.704,9206.809,28.245,10260,626.629
